Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,833.4,"Oakland (Alameda County), CA","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Alameda County vital statistics files,Using 2010 mid-year population estimates,,,,788.0,878.8
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Male,All,901.1,"Las Vegas (Clark County), NV","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Nevada Vital Records - Clark County Deaths,,,,,880.2,922.0
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Female,All,663.9,"Las Vegas (Clark County), NV","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Nevada Vital Records - Clark County Deaths,,,,,647.1,680.8
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,White,868.6,"Las Vegas (Clark County), NV","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Nevada Vital Records - Clark County Deaths,,,,,851.5,885.6
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Other,154.9,"Las Vegas (Clark County), NV","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Nevada Vital Records - Clark County Deaths,,,,,111.9,197.8
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Hispanic,508.2,"Las Vegas (Clark County), NV","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",Nevada Vital Records - Clark County Deaths,,,,,478.4,538.0
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,Asian/PI,407.8,"Seattle, WA","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population","Washington State Department of Health, Center for Health Statistics, Death Certificate Data, 1990-2016, October 2017.",,Does not include Pacific Islanders as we report data separately for this group. ,,,367.0,453.3
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,606.0,"Seattle, WA","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population","Washington State Department of Health, Center for Health Statistics, Death Certificate Data, 1990-2016, October 2017.",,,,,586.2,626.3
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,All,803.7,"Indianapolis (Marion County), IN","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",MCPHD Death Certificate data,,,,,784.5,823.3
Life Expectancy and Death Rate (Overall),"All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)",2010,Both,American Indian/Alaska Native,,"Indianapolis (Marion County), IN","All deaths per 100,000 population using 2010 US Census figures, age adjusted to the year 2000 standard population",MCPHD Death Certificate data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
