Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,39241.0,"Baltimore, MD","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 2404000 was used to isolate data for Baltimore, MD.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,44153.0,"Phoenix, AZ","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 0455000 was used to isolate data for Phoenix, AZ.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,47604.0,"Minneapolis, MN","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 2743000 was used to isolate data for Minneapolis, MN.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,23600.0,"Detroit, MI","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 2622000 was used to isolate data for Detroit, MI.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,50488.0,"Denver, CO","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 0820000 was used to isolate data for Denver, CO.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,64473.0,"Seattle, WA","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,51642.0,"Boston, MA","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 2507000 was used to isolate data for Boston, MA.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,73012.0,"San Francisco, CA","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 0667000 was used to isolate data for San Francisco, CA.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,46803.0,"Los Angeles, CA","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 0644000 was used to isolate data for Los Angeles, CA.",,,,
Social and Economic Factors,Median Household Income (Dollars),2012,Both,All,41354.0,"Dallas, TX","Median household income (in 2012 inflation-adjusted dollars) using US Census Bureau, American Community Survey (ACS) 1-year estimates or something similar. Provide three most recent years of data. Notate your source.","US Census Bureau, American Community Survey 1-year estimates; Table ID S1903 - Income in the Past 12 Months (In 2012 Inflation-Adjusted Dollars)",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",,,,
