Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,12.1,"Kansas City, MO","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 2938000 was used to isolate data for Kansas City, MO.",6.5,17.7,,
Social and Economic Factors,Percent Unemployed,2012,Both,White,6.7,"Kansas City, MO","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 2938000 was used to isolate data for Kansas City, MO.",5.7,7.7,,
Social and Economic Factors,Percent Unemployed,2012,Female,All,8.3,"Kansas City, MO","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 2938000 was used to isolate data for Kansas City, MO.",7.1,9.5,,
Social and Economic Factors,Percent Unemployed,2012,Male,All,10.1,"Kansas City, MO","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Population 20 to 64 years; FIPS code 2938000 was used to isolate data for Kansas City, MO.",8.8,11.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Multiracial,9.6,"Seattle, WA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",5.6,13.6,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,4.5,"Seattle, WA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",2.6,6.4,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,12.7,"Seattle, WA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",8.6,16.8,,
Social and Economic Factors,Percent Unemployed,2012,Both,Asian/PI,7.0,"Seattle, WA","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"Asian alone; FIPS code 5363000 was used to isolate data for Seattle, WA.",5.1,8.9,,
Social and Economic Factors,Percent Unemployed,2012,Both,All,19.4,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",17.9,20.9,,
Social and Economic Factors,Percent Unemployed,2012,Both,Black,26.4,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",23.8,29.0,,
Social and Economic Factors,Percent Unemployed,2012,Both,Hispanic,22.3,"Cleveland, OH","Percent of unemployment among population 16 and over using US Census Bureau, American Community Survey 1-year estimates, or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID S2301 - Employment Status.",,"FIPS code 3916000 was used to isolate data for Cleveland, OH.",17.8,26.8,,
