Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Demographics,Total Population (People),2012,Both,All,2161686.0,"Houston, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 4835000 was used to isolate data for Houston, TX.",2159401.0,2163971.0,,
Demographics,Total Population (People),2012,Both,All,621342.0,"Baltimore, MD","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2404000 was used to isolate data for Baltimore, MD.",,,,
Demographics,Total Population (People),2012,Both,All,1880153.0,"Fort Worth (Tarrant County), TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48439 was used to isolate data for Fort Worth (Tarrant County), TX.",,,,
Demographics,Total Population (People),2012,Both,All,2453843.0,"Dallas, TX","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 48113 was used to isolate data for Dallas county, TX.",,,,
Demographics,Total Population (People),2012,Both,All,2591035.0,"Miami (Miami-Dade County), FL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 12086 was used to isolate data for Miami (Miami-Dade County), FL.",,,,
Demographics,Total Population (People),2012,Both,All,701524.0,"Detroit, MI","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 2622000 was used to isolate data for Detroit, MI.",701456.0,701592.0,,
Demographics,Total Population (People),2012,Both,All,400740.0,"Oakland (Alameda County), CA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0653000 was used to isolate data for Oakland, CA.",400689.0,400791.0,,
Demographics,Total Population (People),2012,Both,All,2714844.0,"Chicago, IL","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"Place=Chicago was used to isolate American Community Survey data for Chicago, IL on American Factfinder.",2714794.0,2714894.0,,
Demographics,Total Population (People),2012,Both,All,634265.0,"Denver, CO","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 0820000 was used to isolate data for Denver, CO.",,,,
Demographics,Total Population (People),2012,Both,All,8336697.0,"New York City, NY","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 3651000 was used to isolate data for New York City, NY.",,,,
Demographics,Total Population (People),2012,Both,All,634541.0,"Seattle, WA","Total population using US Census Bureau, American Community Survey 1-year estimates or something similar.","US Census Bureau, American Community Survey 1-year estimates; Table ID DP05 - Demographic and Housing Estimates",,"FIPS code 5363000 was used to isolate data for Seattle, WA.",634483.0,634599.0,,
