Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2010,Both,White,75.5,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2010,Female,All,62.7,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2010,Male,All,75.2,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2010,Both,Black,62.2,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2010,Both,All,68.4,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Male,All,65.2,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,All,50.7,"Chicago, IL","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",,,,,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,All,68.4,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,Black,63.9,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Chronic Disease,Percent of Adults Who Meet CDC-Recommended Physical Activity Levels,2011,Both,White,77.5,"Baltimore, MD","BRFSS (or similar survey). Percent of population 18 years and over that meets CDC physical activity recommendations: 18 and over get at least 2 hrs, 30 mins of moderate intensity aerobic activity every week for good health; 1 hr, 15 mins of vigorous intensity aerobic activity; or an equivalent mix of moderate and vigorous.",CDC BRFSS,"The three most recent years of available data are 2010-2012. Data from Baltimore City County. BRFSS question: ""During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?"" Percent responding yes.","Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
