Alice Ball Park,"This park in development in the heart of the Greenwood/Phinney Urban Village has now been named Alice Ball Park. It features a multi-use space that includes natural play elements, an open lawn, a gathering/plaza space with seating, a loop path, and planted areas"
12th Ave. Square Park,"This is a woonerf designed park which provides pedestrians and cyclists priority on the street. This technique of shared spaces, traffic calming, and low speed limits contributes to improved pedestrian, bicycle, and automobile safety."
12th West & West Howe Park,"This little neighborhood park features a sand pit for the kids and a long hillside slide that is a lot of fun! There are benches and a small lawn area overlooking the park where parents can sit and watch the kids play. It is connected to the SW Queen Anne Greenbelt, and provides access to its hiking paths via the staircase next to the hillside slide."
4th Avenue NW Boat Ramp,"In the shadow of the Ballard Bridge, this small ramp leads into the Lake Washington Ship Canal. The site offers two piers, two launch lanes, and is one of Seattle's free of charge launch ramps."
3001 E Madison Park,This park is a small community green space with deciduous trees and ground cover.
32nd Ave W Boat Launch,32nd Ave W boat launch is a hand carry boat launch beach at the southern street end of 32nd Avenue West in Magnoli. It provides lovely views of the Puget sound and surrounding shoreline.
6th Avenue NW Pocket Park,"Originally a surplused Seattle City Light substation, this park is now a cozy neighborhood place to relax and play. Park features include a large lawn area, landscaping, paths, neighborhood gathering area, and interactive features for children's play. Of particular note are the mural arches, lovely marble chess tiles, and entry columns with tiles designed by renowned northwest artist Alden Mason."
A. B. Ernst Park,"Built on a steep hillside, Ernst Park is comprised of a spiraling path of water-permeable concrete, bordered by artful garden-bed walls that park designer Lynn Thompson created to serve as seating."
Adams Street Boat Ramp,Adams Street hand-carry boat launch is a 50-foot section of shoreline located at the northern end of the public parking lot at Adams St. and Lake Washington Blvd. S.
Albert Davis Park,"This little park is just about in the back yard of the Lake City Branch of the Seattle Public Library. Come and relax while your little ones enjoy the accessible sandbox, slide and whirl."
Alki Beach Park,"Alki Beach Park is a long beach strip that runs from Alki Point to Duwamish Head on Elliott Bay. It's a great spot for a 2.5 mile walk any time of year, and in the summer draws joggers, rollerbladers, volleyball players, beachcombers, sunbathers, bicyclists and strollers out to enjoy the sun."
Alki Playground,"Alki Playfield adjoins the Alki Elementary School and Alki Community Center. The park features basketball, an innovative play area accessible to youngsters with disabilities, restrooms, a soccer field, a softball field, and accessible tennis courts. It is also home to the popular Whale Tail sculpture, a sand play area, artwork and landscaping with stone built into the walkways and landscape beds."
