"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-01","0.00","0.0","2.0",,"16","5",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-02","0.00","0.0","2.0",,"11","2",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-03","0.00","0.0","2.0",,"18","-1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-04","0.00","0.0","2.0",,"18","7",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-05","0.00","0.0","2.0",,"23","13",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-06","0.01","0.1","2.0",,"20","10","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-07","0.27","3.9","3.0",,"22","16","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-08","0.27","3.5","8.0",,"27","11","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-09","0.00","0.0","7.0",,"22","6",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-10","0.00","0.0","6.0",,"18","0",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-11","0.00","0.0","6.0",,"26","15",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-12","0.00","0.0","5.0",,"31","20",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-13","0.00","0.0","5.0",,"35","19",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-14","0.00","0.0","5.0",,"40","31","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-15","0.00","0.0","2.0",,"34","25","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-16","0.00","0.0","2.0",,"27","23","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-17","0.00","0.0","2.0",,"29","19","    1","    1",,,,,,,"    1",,"    1",,,,,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-18","0.00","0.0","2.0",,"31","27","    1",,,,,,,,,,"    1",,,,,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-19","0.00","0.0","2.0",,"38","27","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-20","0.01","0.0","2.0",,"33","24",,,"    1","    1","    1",,,,,,,,,"    1","    1",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-21","0.08","0.0","2.0",,"35","30",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-22","0.00","0.0","2.0",,"35","33","    1",,,,,,,"    1",,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-23","0.00","0.0","1.0",,"44","34","    1",,,,,,,,,,"    1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-24","0.49","0.0","0.0",,"46","30","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-25","0.00","0.5","0.0",,"32","19","    1",,,,,,,,"    1",,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-26","0.00","0.2","0.0",,"24","12",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-27","0.00","0.9","1.0",,"23","9","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-28","0.00","0.0","1.0",,"17","6",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-29","0.00","0.0","1.0",,"21","5","    1",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-30","0.00","0.0","1.0",,"25","18",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01-31","0.00","0.0","1.0",,"29","15",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-01","0.00","0.0","0.0",,"30","14",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-02","0.10","2.1","1.0",,"32","25","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-03","0.00","0.0","1.0",,"32","23","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-04","0.00","0.0","1.0",,"33","21","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-05","0.02","0.2","1.0",,"35","30","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-06","0.00","0.0","0.0",,"31","25",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-07","0.00","0.0","0.0",,"31","23","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-08","0.00","0.0","0.0",,"30","20",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-09","0.65","12.6","1.0",,"28","23","    1","    1",,,,,,,"    1",,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-10","0.02","0.3","9.0",,"26","17","    1",,,,,,,"    1","    1",,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-11","0.00","0.0","7.0",,"30","10",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-12","0.00","0.0","6.0",,"32","10",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-13","0.00","0.0","5.0",,"30","11",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-14","0.00","0.0","5.0",,"29","9","    1",,,,,,"    1","    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-15","0.00","0.3","4.0",,"28","6","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-16","0.00","0.0","5.0",,"32","25","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-17","0.00","0.0","4.0",,"32","26",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-18","0.00","0.0","3.0",,"39","25",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-19","0.00","0.0","2.0",,"42","19",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-20","0.01","0.2","2.0",,"39","30","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-21","0.36","2.0","2.0",,"36","33","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-22","0.14","1.1","4.0",,"33","29","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-23","0.00","0.0","3.0",,"33","22","    1",,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-24","0.34","3.6","3.0",,"29","21","    1","    1",,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-25","0.00","0.0","5.0",,"28","18",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-26","0.00","0.0","5.0",,"31","17",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-27","0.00","0.1","4.0",,"34","28","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02-28","0.00","0.0","4.0",,"38","32","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-01","0.00","0.0","3.0",,"36","27",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-02","0.00","0.0","3.0",,"33","23",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-03","0.00","0.0","3.0",,"39","24",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-04","0.00","0.0","2.0",,"42","22",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-05","0.00","0.0","1.0",,"38","23",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-06","0.00","0.0","0.0",,"45","20",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-07","0.03","0.0","0.0",,"46","26","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-08","0.00","0.0","0.0",,"44","33","    1","    1",,,,,"    1","    1","    1",,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-09","0.01","0.0","0.0",,"51","32","    1","    1",,,"    1",,"    1","    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-10","0.07","0.0","0.0",,"62","46","    1",,,,"    1",,"    1","    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-11","0.34","0.0","0.0",,"60","44","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-12","0.01","0.0","0.0",,"55","40","    1",,,,,,,,,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-13","0.61","0.0","0.0",,"45","41","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-14","0.00","0.0","0.0",,"50","40","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-15","0.00","0.0","0.0",,"48","39",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-16","0.00","0.0","0.0",,"61","35",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-17","0.00","0.0","0.0",,"63","32",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-18","0.00","0.0","0.0",,"61","41",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-19","0.00","0.0","0.0",,"65","39",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-20","0.42","1.8","0.0",,"39","31","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-21","0.02","0.0","0.0",,"42","33","    1",,,"    1","    1",,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-22","0.00","0.0","0.0",,"49","34",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-23","0.00","0.0","0.0",,"59","28",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-24","0.00","0.0","0.0",,"53","35",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-25","0.03","0.0","0.0",,"47","29",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-26","0.00","0.0","0.0",,"41","27",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-27","0.01","0.0","0.0",,"50","31",,,,,,,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-28","0.00","0.0","0.0",,"52","37",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-29","0.00","0.0","0.0",,"46","30",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-30","0.00","0.0","0.0",,"64","29","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03-31","0.00","0.0","0.0",,"77","51",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-01","0.00","0.0","0.0",,"83","54",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-02","0.00","0.0","0.0",,"81","59",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-03","0.18","0.0","0.0",,"59","49","    1",,,,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-04","0.80","0.0","0.0",,"76","39","    1",,"    1",,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-05","0.82","0.0","0.0",,"72","50","    1",,"    1",,"    1",,,"    1",,"    1",,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-06","0.37","0.0","0.0",,"76","47","    1",,"    1",,"    1",,,"    1",,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-07","0.13","0.0","0.0",,"49","37","    1",,,,"    1",,,,,,"    1",,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-08","0.00","0.0","0.0",,"40","34","    1",,,,"    1",,,,,,,,,"    1",,"    1",,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-09","0.00","0.0","0.0",,"56","30",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-10","0.00","0.0","0.0",,"74","38",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-11","0.00","0.0","0.0",,"63","44",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-12","0.01","0.0","0.0",,"70","44",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-13","0.00","0.0","0.0",,"63","48",,,,,,,,,,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-14","0.00","0.0","0.0",,"80","46",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-15","0.00","0.0","0.0",,"82","61",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04-16","0.00","0.0","0.0",,"68","39",,,,,,,,,,,,,,,,,,,
