"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT11","WT13","WT16"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-01","0.00",,,,"68","41",,,,,,,"    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-02","0.00",,,,"71","45",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-03","0.00",,,,"71","42",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-04","0.00",,,,"74","45",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-05","0.00",,,,"73","45",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-06","0.00",,,,"69","44",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-07","0.00",,,,"69","48",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-08","0.00",,,,"70","44",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-09","0.00",,,,"70","45",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-10","0.00",,,,"71","46",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-11","0.00",,,,"73","44",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-12","0.00",,,,"75","47",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-13","0.00",,,,"72","54",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-14","0.00",,,,"73","48",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-15","0.00",,,,"74","48",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-16","0.00",,,,"70","53",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-17","0.00",,,,"69","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-18","0.01",,,,"59","51",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-19","0.87",,,,"68","52","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-20","0.00",,,,"64","47",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-21","1.33",,,,"61","51","    1",,,,"    1",,"    1",,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-22","0.16",,,,"60","47","    1",,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-23","0.03",,,,"57","46","    1",,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-24","0.00",,,,"58","41",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-25","0.00",,,,"62","42",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-26","0.00",,,,"67","46",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-27","0.00",,,,"63","52",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-28","0.03",,,,"64","51","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-29","0.00",,,,"67","50",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-30","0.00",,,,"68","50",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-01-31","0.00",,,,"69","47",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-01","0.00",,,,"67","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-02","0.00",,,,"73","52",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-03","0.01",,,,"71","54",,,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-04","0.00",,,,"68","50",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-05","0.00",,,,"70","50",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-06","0.00",,,,"69","51",,,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-07","0.05",,,,"63","49",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-08","0.00",,,,"64","47",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-09","0.00",,,,"66","46",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-10","0.02",,,,"60","50",,,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-11","0.00",,,,"64","44",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-12","0.00",,,,"68","47",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-13","0.00",,,,"73","48",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-14","0.00",,,,"76","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-15","0.00",,,,"76","52",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-16","0.00",,,,"77","54",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-17","0.00",,,,"78","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-18","0.00",,,,"75","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-19","0.00",,,,"76","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-20","0.09",,,,"61","51","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-21","0.20",,,,"64","51","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-22","0.21",,,,"61","47","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-23","0.00",,,,"62","41",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-24","0.00",,,,"68","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-25","0.00",,,,"72","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-26","0.00",,,,"70","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-27","0.08",,,,"71","53",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-02-28","0.70",,,,"59","50","    1",,"    1",,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-01","0.00",,,,"67","48",,,,,,,"    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-02","0.00",,,,"74","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-03","0.00",,,,"73","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-04","0.00",,,,"70","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-05","0.00",,,,"71","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-06","0.00",,,,"77","53",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-07","0.36",,,,"61","48","    1",,,,"    1",,,,"    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-08","0.11",,,,"58","47","    1",,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-09","0.10",,,,"59","49","    1",,,,"    1",,,"    1","    1","    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-10","0.00",,,,"61","44",,,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-11","0.00",,,,"62","45",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-12","0.00",,,,"69","46",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-13","0.00",,,,"72","49",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-14","0.00",,,,"66","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-15","0.00",,,,"76","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-16","0.00",,,,"81","55",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-17","0.00",,,,"85","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-18","0.00",,,,"83","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-19","0.00",,,,"77","58",,,,,"    1",,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-20","0.00",,,,"73","57",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-21","0.00",,,,"78","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-22","0.00",,,,"83","54",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-23","0.52",,,,"68","56","    1",,,,"    1","    1","    1",,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-24","0.00",,,,"73","54",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-25","0.00",,,,"78","52",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-26","0.00",,,,"75","53",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-27","0.00",,,,"76","51",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-28","0.00",,,,"80","53",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-29","0.00",,,,"84","55",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-30","0.00",,,,"87","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-03-31","0.00",,,,"84","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-01","0.00",,,,"68","55",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-02","0.00",,,,"70","50",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-03","0.00",,,,"79","53",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-04","0.00",,,,"83","55",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-05","0.00",,,,"81","58",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-06","0.00",,,,"78","57",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-07","0.00",,,,"77","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-08","0.00",,,,"86","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-09","0.00",,,,"86","57",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-10","0.00",,,,"88","58",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-11","0.00",,,,"89","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-12","0.00",,,,"83","61",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-13","0.00",,,,"75","58",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-14","0.00",,,,"83","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-15","0.00",,,,"91","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-16","0.00",,,,"85","64",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-17","0.00",,,,"90","60",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-18","0.00",,,,"96","68",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-19","0.00",,,,"88","68",,,,,,,"    1",,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-20","0.00",,,,"89","66",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-21","0.00",,,,"77","58",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-22","0.04",,,,"67","53",,,,,,,,,,"    1"
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-23","0.00",,,,"72","52",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-24","0.00",,,,"81","56",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-25","0.00",,,,"89","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-26","0.00",,,,"92","62",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-27","0.00",,,,"95","64",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-28","0.00",,,,"91","68",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-29","0.00",,,,"73","59",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-04-30","0.00",,,,"74","52",,,,,,,,,,
"USW00023183","PHOENIX AIRPORT, AZ US","2010-05-01","0.00",,,,"81","56",,,,,,,,,,
